Market Place,Account Holder,Account,Psp Reference,Payment Psp Reference,Payment Merchant Reference,Capture Psp Reference,Capture Merchant Reference,Payout Psp Reference,Chargeback Psp Reference,Booking Date,TimeZone,Description,Main Currency,Main Amount,Record Type,Balance Currency,Pending (BC),Balance (BC),Exchange Rate,Bank account details,US State,Refund terms,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016323809561097,853632380908827E,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-6ynXQdJ3pPO6OOBMlwDWrh,853632380910123E,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-2r4tmXhiGAiEaIGzVUTF6N,,,2021-09-23 0:09:16,PDT,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-2r4tmXhiGAiEaIGzVUTF6N,USD,-11,PendingDebit,USD,-11,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016323809561089,853632380908827E,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-6ynXQdJ3pPO6OOBMlwDWrh,883632380910507F,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-6ynXQdJ3pPO6OOBMlwDWrh-capture,,,2021-09-23 0:09:16,PDT,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-6ynXQdJ3pPO6OOBMlwDWrh-capture,USD,11,PendingCredit,USD,11,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016323809930185,822632380925622D,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-4CBiNZANPS1qvfvF1Gcz0a,852632380927248C,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-4CBiNZANPS1qvfvF1Gcz0a-capture,,,2021-09-23 0:09:53,PDT,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-4CBiNZANPS1qvfvF1Gcz0a-capture,USD,11,PendingCredit,USD,11,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016323810200438,863632380960490F,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-4NQo0dTAn6zWTt8VX5e1pl,883632380960207B,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-4NQo0dTAn6zWTt8VX5e1pl-capture,,,2021-09-23 0:10:20,PDT,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-4NQo0dTAn6zWTt8VX5e1pl-capture,USD,20.02,PendingCredit,USD,20.02,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016323810660433,883632381014537F,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-5TG5pj9TWkRCtSj3re1Omi,863632381015112J,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-5TG5pj9TWkRCtSj3re1Omi-capture,,,2021-09-23 0:11:07,PDT,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-5TG5pj9TWkRCtSj3re1Omi-capture,USD,20.02,PendingCredit,USD,20.02,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016323810690729,882632381064289E,GatewayTestSuite-3jmGqz0AHfVf79RrvXRGoQ,8.02632E+15,<auto>,,,2021-09-23 0:11:09,PDT,Payment with empty split data - Payment with empty split data,USD,-22,PendingDebit,USD,-22,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016323810811739,863632381063651G,GatewayTestSuite-2aCJXmnehkQ0HZUZAfJlPh,8036323810751287,<auto>,,,2021-09-23 0:11:21,PDT,Payment with empty split data - Payment with empty split data,USD,-21,PendingDebit,USD,-21,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016323810811697,863632381025701G,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-0JdDJzNLAScOSnQmfqI41a,883632381026638H,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-0JdDJzNLAScOSnQmfqI41a-capture,,,2021-09-23 0:11:22,PDT,4qE3mEJF3sWMqF7TdNyMwQ-5hv9wuPoPWQVaFhCYUBqrc-0JdDJzNLAScOSnQmfqI41a-capture,USD,11,PendingCredit,USD,11,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016323810850067,882632381064512K,GatewayTestSuite-6RjoEgo5m1jOXAr36Th09y,8.02632E+15,<auto>,,,2021-09-23 0:11:25,PDT,Payment with empty split data - Payment with empty split data,USD,-11,PendingDebit,USD,-11,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016323811160771,862632381062398H,GatewayTestSuite-46UlopAgM8n4kmUzQ0v95l,862632381062643G,GatewayTestSuite-0jTBwMCwrBgLNtDf3r9GMy,,,2021-09-23 0:11:56,PDT,GatewayTestSuite-0jTBwMCwrBgLNtDf3r9GMy,USD,-11,PendingDebit,USD,-11,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016323811160748,862632381062398H,GatewayTestSuite-46UlopAgM8n4kmUzQ0v95l,862632381062519J,GatewayTestSuite-46UlopAgM8n4kmUzQ0v95l-capture,,,2021-09-23 0:11:56,PDT,GatewayTestSuite-46UlopAgM8n4kmUzQ0v95l-capture,USD,21,PendingCredit,USD,21,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016323811160789,852632381064865E,GatewayTestSuite-1guedSLVmXB6PA7HJvujOE,822632381065942D,GatewayTestSuite-1guedSLVmXB6PA7HJvujOE-capture,,,2021-09-23 0:11:56,PDT,GatewayTestSuite-1guedSLVmXB6PA7HJvujOE-capture,USD,20.01,PendingCredit,USD,20.01,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016323811180936,821632381070982E,GatewayTestSuite-6HIV3FYNSVmf0ayh90R7WN,851632381071913F,GatewayTestSuite-6HIV3FYNSVmf0ayh90R7WN-capture,,,2021-09-23 0:11:59,PDT,GatewayTestSuite-6HIV3FYNSVmf0ayh90R7WN-capture,USD,30.02,PendingCredit,USD,30.02,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016323811180944,881632381071346F,GatewayTestSuite-2huiaIYMwfUu0s8JuQxtKe,861632381072290G,GatewayTestSuite-2huiaIYMwfUu0s8JuQxtKe-capture,,,2021-09-23 0:11:59,PDT,GatewayTestSuite-2huiaIYMwfUu0s8JuQxtKe-capture,USD,29.99,PendingCredit,USD,29.99,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016323811281585,863632381061148F,GatewayTestSuite-2vFrwZ61HqDo5kWEqhqQVZ,863632381061638F,GatewayTestSuite-1a9R2seEsKWX1NwbWkDYzL,,,2021-09-23 0:12:09,PDT,GatewayTestSuite-1a9R2seEsKWX1NwbWkDYzL,USD,-21,PendingDebit,USD,-21,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016323811281569,863632381065671C,GatewayTestSuite-71DXlwxWk8wq95eA6konuM,863632381065554A,GatewayTestSuite-5CcDpuBbDt0UC0OOjJiGn2,,,2021-09-23 0:12:09,PDT,GatewayTestSuite-5CcDpuBbDt0UC0OOjJiGn2,USD,-20.01,PendingDebit,USD,-20.01,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016323811281577,883632381067313H,GatewayTestSuite-2E04VaNqDBfNH5iEiU91xX,863632381067257J,GatewayTestSuite-6JM5VQNDhfP5VfxE1GXoEw,,,2021-09-23 0:12:09,PDT,GatewayTestSuite-6JM5VQNDhfP5VfxE1GXoEw,USD,-20.01,PendingDebit,USD,-20.01,0,,,,,,,,,,
